article_number,article_details,book,chapter,section,linked_definitions,linked_articles
1,"المادة 1 من قانون العمل المصري: يقصد في تطبيق أحكام هذا القانون بالمصطلحات الآتية المعاني المبينة قرين كل منها:
(‌أ)	العامل : كل شخص طبيعي يعمل لقاء أجر لدى صاحب عمل وتحت إدارته أو إشرافه
(‌ب)	صاحب العمل :كل شخص طبيعي أو اعتباري يستخدم عاملا أو أكثر لقاء أجر.
(‌ج)	الأجر : كل ما يحصل عليه العامل لقاء عمله ، ثابتا كان أو متغيرا ، نقدا أو عينا.
ويعتبر أجرا على الأخص ما يلى:
۱ - العمولة التي تدخل في إطار علاقة العمل.
۲ - النسبة المئوية ، وهى ما قد يدفع للعامل مقابل ما يقوم بإنتاجه أو بيعه أو تحصيله طوال قيامة بالعمل المقرر له هذه النسبة
۳ - العلاوات أيا كان سبب استحقاقها أو نوعها.
٤ - المزايا العينية التي يلتزم بها صاحب العمل دون أن تستلزمها مقتضيات العمل.
٥ - المنح : وهى ما يعطى للعامل علاوة على أجره وما يصرف له جزاء أمانته أو كفاءته متى كانت هذه المنح مقررة فى عقود العمل الفردية أو الجماعية أو في الأنظمة الأساسية للعمل ، وكذلك ما جرت العادة بمنحه متى توافرت لها صفات العمومية والدوام والثبات.
٦ - البدل : وهو ما يعطى للعامل لقاء ظروف أو مخاطر معينة يتعرض لها في أداء عمله.
۷ - نصيب العامل فى الأرباح.
۸ - الوهبة التي يحصل عليها العامل إذا جرت العادة بدفعها وكانت لها قواعد تسمح بتحديدها ، وتعتبر فى حكم الوهبة النسبة المئوية التي يدفعها العملاء مقابل الخدمة فى المنشآت السياحية.
ويصدر قرار من الوزير المختص بالاتفاق مع المنظمة النقابية المعنية بكيفية توزيعها على العاملين وذلك بالتشاور مع الوزير المعنى.
(د) العمل المؤقت : العمل الذي يدخل بطبيعته فيما يزاوله صاحب العمل من نشاط وتقتضى طبيعة إنجازه مدة محددة ، أو ينصب على عمل بذاته وينتهي بانتهائه.
(هـ)  العمل العرضي : العمل الذي لا يدخل بطبيعته فيما يزاوله صاحب العمل من نشاط ولا يستغرق إنجازه أكثر من ستة أشهر .
(‌و)	العمل الموسمي : العمل الذي يتم في مواسم دورية متعارف عليها.
(‌ز)	الليل : الفترة ما بين غروب الشمس وشروقها.
(‌ح)	الوزير المختص : الوزير المختص بالقوى العاملة.
(‌ط)	الوزارة المختصة : الوزارة المختصة بشئون القوى العاملة.
",الكتاب الأول: التعاريف والأحكام العامة,الباب الأول: التعاريف,,{},[]
2,"المادة 2 من قانون العمل المصري: في تطبيق أحكام هذا القانون تعتبر السنة 365 يوما ، والشهر ثلاثين يوما إلا إذا تم الاتفاق على خلاف ذلك.

",الكتاب الأول: التعاريف والأحكام العامة,الباب الثانى: أحكام عامة,,{},[]
3,"المادة 3 من قانون العمل المصري: يعتبر هذا القانون ، القانون العام الذى يحكم علاقات العمل ، وذلك مع مراعاة اتفاقيات العمل الجماعية وأحكام المادة ( 5) من هذا القانون.
",الكتاب الأول: التعاريف والأحكام العامة,الباب الثانى: أحكام عامة,,{},[5]
4,"المادة 4 من قانون العمل المصري: لا تسرى أحكام هذا القانون على:
(أ‌) العاملين بأجهزة الدولة بما فى ذلك وحدات الإدارة المحلية والهيئات العامة.
(ب) عمال الخدمة المنزلية ومن فى حكمهم.
(ت) أفراد أسرة صاحب العمل الذين يعولهم فعلا.
وذلك مالم يرد نص على خلاف ذلك.",الكتاب الأول: التعاريف والأحكام العامة,الباب الثانى: أحكام عامة,,{'صاحب العمل': 'كل شخص طبيعي أو اعتباري يستخدم عاملا أو أكثر لقاء أجر.'},[]
5,"المادة 5 من قانون العمل المصري: يقع باطلا كل شرط أو اتفاق يخالف أحكام هذا القانون ولو كان سابقا على العمل به، إذا كان يتضمن انتقاصا من حقوق العامل المقررة فيه.
ويستمر العمل بأية مزايا و شروط أفضل تكون مقررة أو تقرر في عقود العمل الفردية أو الجماعية أو الأنظمة الأساسية أو غيرها من لوائح المنشأة ، أو بمقتضى العرف.
وتقع باطلة كل مصالحة تتضمن انتقاصا أو إبراء من حقوق العامل الناشئة عن عقد العمل خلال مدة سريانه أو خلال ثلاثة أشهر من تاريخ انتهائه متى كانت تخالف أحكام هذا القانون.
",الكتاب الأول: التعاريف والأحكام العامة,الباب الثانى: أحكام عامة,,"{'العامل': 'كل شخص طبيعي يعمل لقاء أجر لدى صاحب عمل وتحت إدارته أو إشرافه', 'المنشأة': 'كل مشروع أو مرفق يملكه أو يديره شخص من أشخاص القانون العام أو الخاص.'}",[]
6,"المادة 6 من قانون العمل المصري: تعفى من الرسوم القضائية فى جميع مراحل التقاضي الدعاوى الناشئة عن المنازعات المتعلقة بأحكام هذا القانون التى يرفعها العاملون والصبية المتدرجون وعمال التلمذة الصناعة أو المستحقون عن هؤلاء ، وللمحكمة فى جميع الأحوال أن تشمل حكمها بالنفاذ المعجل وبلا كفالة ولها فى حالة رفض الدعوى أن تحكم على رافعها بالمصروفات كلها أو بعضها.
وتعفى الفئات المشار إليها فى الفقرة السابقة من رسم الدمغة على كل الشهادات والصور التي تعطى لهم والشكاوى والطلبات التى تقدم منهم تطبيقا لأحكام هذا القانون.",الكتاب الأول: التعاريف والأحكام العامة,الباب الثانى: أحكام عامة,,{},[]
7,"المادة 7 من قانون العمل المصري: تكون للمبالغ المستحقة للعامل أو المستحقين عنه بمقتضى أحكام هذا القانون امتياز	 على جميع أموال المدين من منقول وعقار ، وتستوفى مباشرة بعد المصروفات القضائية والمبالغ المستحقة للخزانة العامة.
ومع ذلك يستوفى الأجر قبل غيره من الحقوق المشار إليها فى الفقرة السابقة.",الكتاب الأول: التعاريف والأحكام العامة,الباب الثانى: أحكام عامة,,{'الأجر': 'كل ما يحصل عليه العامل لقاء عمله ، ثابتا كان أو متغيرا ، نقدا أو عينا.\nويعتبر أجرا على الأخص ما يلى: ۱ - العمولة التي تدخل في إطار علاقة العمل.  \n۲ - النسبة المئوية ، وهى ما قد يدفع للعامل مقابل ما يقوم بإنتاجه أو بيعه أو تحصيله طوال قيامة بالعمل المقرر له هذه النسبة \n۳ - العلاوات أيا كان سبب استحقاقها أو نوعها.  \n٤ - المزايا العينية التي يلتزم بها صاحب العمل دون أن تستلزمها مقتضيات العمل.  \n٥ - المنح : وهى ما يعطى للعامل علاوة على أجره وما يصرف له جزاء أمانته أو كفاءته متى كانت هذه المنح مقررة فى عقود العمل الفردية أو الجماعية أو في الأنظمة الأساسية للعمل ، وكذلك ما جرت العادة بمنحه متى توافرت لها صفات العمومية والدوام والثبات.  \n٦ - البدل : وهو ما يعطى للعامل لقاء ظروف أو مخاطر معينة يتعرض لها في أداء عمله.  \n۷ - نصيب العامل فى الأرباح.  \n۸ - الوهبة التي يحصل عليها العامل إذا جرت العادة بدفعها وكانت لها قواعد تسمح بتحديدها ، وتعتبر فى حكم الوهبة النسبة المئوية التي يدفعها العملاء مقابل الخدمة فى المنشآت السياحية.  \n     ويصدر قرار من الوزير المختص بالاتفاق مع المنظمة النقابية المعنية بكيفية توزيعها على العاملين وذلك بالتشاور مع الوزير المعنى.'},[]
8,"المادة 8 من قانون العمل المصري: إذا تعدد أصحاب العمل كانوا مسئولين بالتضامن فيما بينهم عن الوفاء بالالتزامات الناشئة عن هذا القانون.
ويكون من تنازل له صاحب العمل عن الأعمال المسندة إليه كلها أو بعضها متضامنا معه فى الوفاء بجميع الالتزامات التى تفرضها أحكام هذا القانون.
",الكتاب الأول: التعاريف والأحكام العامة,الباب الثانى: أحكام عامة,,{'صاحب العمل': 'كل شخص طبيعي أو اعتباري يستخدم عاملا أو أكثر لقاء أجر.'},[]
9,"المادة 9 من قانون العمل المصري: لا يمنع من الوفاء بجميع الالتزامات الناشئة طبقا للقانون ، حل المنشأة أو تصفيتها أو إغلاقها أو إفلاسها.
ولا يترتب على إدماج المنشأة فى غيرها أو انتقالها بالإرث أو الوصية أو الهبة أو البيع – ولو كان بالمزاد العلنى – أو النزول أو الإيجار أو غير ذلك من التصرفات ، إنهاء عقود استخدام عمال المنشأة ويكون الخلف مسئولا بالتضامن مع أصحاب الأعمال السابقين عن تنفيذ جميع الالتزامات الناشئة عن هذه العقود.
",الكتاب الأول: التعاريف والأحكام العامة,الباب الثانى: أحكام عامة,,{'المنشأة': 'كل مشروع أو مرفق يملكه أو يديره شخص من أشخاص القانون العام أو الخاص.'},[]
10,"المادة 10 من قانون العمل المصري: يصدر الوزير المختص قرارا بتحديد الجهات الإدارية المختصة بتطبيق أحكام هذا القانون.

",الكتاب الثاني: علاقات العمل الفردية,الباب الأول: التشغيل,,{'الوزير المختص': 'الوزير المختص بالقوى العاملة.'},[]
