user_input,retrieved_contexts,reference,context_precision,context_recall
كيف يمكن استخدام مفهوم الأجر في تحديد الامتيازات المالية المقدمة للعامل؟,"['، وهي ما قد يدفع للعامل مقابل ما يقوم بانتاجه او بيعه او تحصيله طوال قيامه بالعمل المقرر له هذه النسبه ۳ - العلاوات ايا كان سبب استحقاقها او نوعها. ٤ - المزايا العينيه التي يلتزم بها صاحب العمل دون ان تستلزمها مقتضيات العمل. ٥ - المنح : وهي ما يعطي للعامل علاوه علي اجره وما يصرف له جزاء امانته او', 'ان تستلزمها مقتضيات العمل. ٥ - المنح : وهي ما يعطي للعامل علاوه علي اجره وما يصرف له جزاء امانته او كفاءته متي كانت هذه المنح مقرره في عقود العمل الفرديه او الجماعيه او في الانظمه الاساسيه للعمل ، وكذلك ما جرت العاده بمنحه متي توافرت لها صفات العموميه والدوام والثبات. ٦ - البدل : وهو ما يعطي للعامل']",وفقًا للمادة رقم 1 من قانون العمل المصري، يُعتبر كل ما يحصل عليه العامل لقاء عمله أجرًا، ويشمل ذلك العمولة، النسبة المئوية، العلاوات، المزايا العينية، والمنح والبدلات والوهبة. هذه العناصر تكفل للعامل حقوقًا مالية متنوعة بناءً على طبيعة وظيفته وأدائه، وهي محمية بموجب القانون.,0.99999999995,0.5
ما هي الإجراءات المتبعة لتعيين شخص يمارس حرفة تتطلب مهارة محددة وفق القانون المصري؟,"['اذا كان الراغب في العمل يمارس حرفه من الحرف التي يصدر بها قرار من الوزير المختص المشار اليها في الماده (139) من هذا القانون وجب عليه ان يرفق بطلب القيد شهاده تحدد مستوي مهارته وترخيص مزاوله الحرفه طبقا للماده (140) من هذا القانون، وتثبت درجه مهارته في شهاده القيد. ولا يجوز تشغيل اي عامل الا اذا كان', 'علي كل من يرغب في مزاوله حرفه من الحرف الوارده بقرار من الوزير المختص المشار اليها في الماده السابقه، التقدم للجهه الاداريه المختصه بطلب الحصول علي ترخيص مزاوله الحرفه. ويحظر علي صاحب العمل استخدام عامل في احدي الحرف المبينه بالقرار الوزاري المشار اليه بالفقره السابقه ، الا اذا كان العامل حاصلا علي']",وفقًا للمادة رقم 13 من قانون العمل المصري، إذا كان الراغب في العمل يمارس حرفة من الحرف التي تتطلب مستوى مهارة محدد، يجب عليه تقديم شهادة تحدد هذه المهارة وترخيص مزاولة الحرفة بجانب طلب القيد. هذه الإجراءات تضمن توظيف الكفاءات والحفاظ على الجودة في سوق العمل.,0.99999999995,0.5
ما الفرق بين العمل المؤقت والعمل العرضي وفقًا للقانون المصري؟,"['النقابيه المعنيه بكيفيه توزيعها علي العاملين وذلك بالتشاور مع الوزير المعني. (د) العمل المءقت : العمل الذي يدخل بطبيعته فيما يزاوله صاحب العمل من نشاط وتقتضي طبيعه انجازه مده محدده ، او ينصب علي عمل بذاته وينتهي بانتهاءه. (ه) العمل العرضي : العمل الذي لا يدخل بطبيعته فيما يزاوله صاحب العمل من نشاط', 'بذاته وينتهي بانتهاءه. (ه) العمل العرضي : العمل الذي لا يدخل بطبيعته فيما يزاوله صاحب العمل من نشاط ولا يستغرق انجازه اكثر من سته اشهر . (\u200cو) العمل الموسمي : العمل الذي يتم في مواسم دوريه متعارف عليها. (\u200cز) الليل : الفتره ما بين غروب الشمس وشروقها. (\u200cح) الوزير المختص : الوزير المختص بالقوي العامله.']",وفقًا للمادة رقم 1 من قانون العمل المصري، العمل المؤقت هو العمل الذي يدخل بطبيعته فيما يزاوله صاحب العمل ويتطلب إنجازه مدة محددة، بينما العمل العرضي هو العمل الذي لا يدخل بطبيعته في نشاطات صاحب العمل ولا يتجاوز إكماله ستة أشهر.,0.99999999995,1.0
هل يجوز لصاحب العمل أن يطلب من العامل شراء حاجات محددة من متاجره الخاصة؟,"['لا يجوز لصاحب العمل الزام العامل بشراء اغذيه او سلع او خدمات من محال معينه او مما ينتجه صاحب العمل من سلع او يقدمه من خدمات.', 'لصاحب العمل الاعلان عن الوظاءف الشاغره بمختلف وساءل الاعلام وان يعهد الي احد المكاتب الاستشاريه بدراسه الطلبات التي تقدم اليه وابداء الراي او التوصيه او المساعده بشان اختيار افضل المرشحين لهذه الوظاءف. ولا يجوز له تشغيل عمال عن طريق متعهد او مقاول توريد عمال. ويجوز للوزير المختص بقرار منه الترخيص']",وفقًا للمادة رقم 42 من قانون العمل المصري، لا يجوز لصاحب العمل إلزام العامل بشراء أغذية أو سلع أو خدمات من محال معينة أو مما ينتجه صاحب العمل. هذا لضمان حرية العامل وتجنب الاستغلال التجاري بين العامل وصاحب العمل.,0.9999999999,0.5
ما هي الالتزامات القانونية إذا قرر صاحب العمل إغلاق منشأته نهائيًا؟,"['يكون لصاحب العمل ، لضرورات اقتصاديه ، حق الاغلاق الكلي او الجزءي للمنشاه او تقليص حجمها او نشاطها بما قد يمس حجم العماله بها ، وذلك في الاوضاع وبالشروط والاجراءات المنصوص عليها في هذا القانون.', 'يخطر صاحب العمل العمال والمنظمه النقابيه المعنيه بالطلب المقدم منه وبالقرار الصادر بالاغلاق الكلي او الجزءي للمنشاه او بتقليص حجمها او نشاطها. ويكون تنفيذ ذلك القرار اعتبارا من التاريخ الذي تحدده اللجنه التي نظرت الطلب او التظلم علي حسب الاحوال.']",وفقًا للمادة رقم 9 من قانون العمل المصري، لا يترتب على إغلاق المنشأة إنهاء عقود استخدام العمال ويجب الوفاء بجميع الالتزامات الناشئة، ويكون خلف صاحب العمل مسؤولًا بالتضامن مع أصحاب الأعمال السابقين عن تنفيذ كل الالتزامات.,0.99999999995,0.0
كيف يتم تحديد الأجر في حالة عدم وجود عقد أو عرف محدد للأجر؟,"['يحدد الاجر وفقا لعقد العمل الفردي او اتفاقيه العمل الجماعي او لاءحه المنشاه، فاذا لم يحدد الاجر باي من هذه الطرق استحق العامل اجر المثل ان وجد ، والا قدر الاجر طبقا لعرف المهنه في الجهه التي يءدي فيها العمل ، فان لم يوجد عرف تولت اللجنه المنصوص عليها في الماده (71) من هذا القانون تقدير الاجر وفقا', 'اذا تم الاتفاق علي تحديد الاجر بالانتاج او بالعموله وجب الا يقل ما يحصل عليه العامل عن الحد الادني للاجور.']",وفقًا للمادة رقم 36 من قانون العمل المصري، إذا لم يحدد الأجر في العقد الفردي أو الجمعي أو لائحة المنشأة، يستحق العامل أجر المثل إن وجد، وإلا يقدر الأجر طبقا لعرف المهنة في الجهة التي يؤدي فيها العمل، وإذا لم يوجد عرف، تولى لجنة المادة 71 تقدير الأجر وفقا لمقتضيات العدالة.,0.9999999999,1.0
ما هي الشروط اللازمة لترخيص شركات التشغيل الخارجي للمصريين؟,"['مع عدم الاخلال بالشروط التي يوجبها قانون شركات المساهمه والتوصيه بالاسهم والشركات ذات المسءوليه المحدوده ، يشترط للحصول علي الترخيص المنصوص عليه في الفقره (ه) من الماده (17) من هذا القانون ما ياتي: ۱ - ان يكون المءسسون واعضاء مجلس الاداره والمديرون المختصون بعمليات التشغيل من المصريين ولم يسبق الحكم', 'يحدد الوزير المختص بقرار منه شروط الحصول علي الترخيص بالعمل المشار اليه في الماده السابقه واجراءاته والبيانات التي يتضمنها واجراءات تجديده والرسم الذي يحصل عنه بما لا يقل عن الف جنيه مصري. كما يحدد حالات الغاء الترخيص قبل انتهاء مدته وحالات اعفاء الاجانب من شرط الحصول عليه. ويلتزم كل من يستخدم']",وفقًا للمادة رقم 22 من قانون العمل المصري، يشترط للحصول على الترخيص أن يكون المؤسسون وأعضاء مجلس الإدارة والمديرون المختصون مصريين، وألا يقل رأس مال الشركة عن مائة ألف جنيه، وتقديم خطاب ضمان غير مشروط بقيمة 100 ألف جنيه لصالح الوزارة، كما يجب أن تمتلك الشركة الأغلبية في رأس المال من المصريين عند تشغيل المصريين بالخارج.,0.99999999995,0.25
ما هي العوامل التي تؤثر على قانونية الحصول على مقابل مادي من العامل مقابل إلحاقه بالعمل خارج البلاد؟,"['الحاقه بالعمل داخل جمهوريه مصر العربيه او خارجها بالمخالفه لاحكام الماده (21) من هذا القانون او تقاضي مبالغ دون وجه حق من اجر العامل او من مستحقاته عن عمله في الداخل او في الخارج. ۳ - مخالفه الاحكام الوارده بالفقره الاولي من الماده (20) من هذا القانون او تقديم بيانات غير صحيحه عن اتفاقيات او عقود', 'من اخلال بالقوانين او اللواءح او عقود العمل. (ه) توقيع الحجز علي مستحقات العامل تحت يد صاحب العمل. (و) استخدام العامل لحقه في الاجازات.']",وفقًا للمادة رقم 21 من قانون العمل المصري، يُحظر تقاضي أي مقابل من العامل نظير إلحاقه بالعمل، باستثناء الشركات التي تم بالفعل ترخيصها حيث يمكنها تقاضي ما لا يتجاوز 2% من أجر العامل كمصروفات إدارية فقط خلال السنة الأولى. هذه الضوابط تضمن حماية العمال من الاستغلال المالي.,0.9999999999,0.5
ما هي الفروق الجوهرية بين الأجر والمكافآت التي يحصل عليها العامل وفق القانون المصري؟,"['، وهي ما قد يدفع للعامل مقابل ما يقوم بانتاجه او بيعه او تحصيله طوال قيامه بالعمل المقرر له هذه النسبه ۳ - العلاوات ايا كان سبب استحقاقها او نوعها. ٤ - المزايا العينيه التي يلتزم بها صاحب العمل دون ان تستلزمها مقتضيات العمل. ٥ - المنح : وهي ما يعطي للعامل علاوه علي اجره وما يصرف له جزاء امانته او', '(الماده الرابعه) من قانون العمل المصري: لا تخل احكام القانون المرافق بحقوق العمال السابق لهم الحصول عليها من اجور ومزايا مستمده من احكام القوانين واللواءح والنظم والاتفاقيات والقرارات الداخليه السابقه علي العمل باحكامه.']",وفقًا للمادة رقم 1 من قانون العمل المصري، الأجر يشمل جميع العوائد المستحقة للعامل مقابل عمله، بينما تعتبر المكافأة هي جزء من الأجر يتم صرفه في حالات مثل الأمانة أو الكفاءة، ويعتمد على شروط خاصة ذكرت في عقود العمل أو اللوائح.,0.9999999999,0.0
كيف يتم التعامل ماليًا مع العامل عند نهاية علاقة العمل وفقًا للقانون المصري؟,"['من صاحب العمل دون مقابل علي شهاده بتحديد خبرته وكفاءته المهنيه وذلك اثناء سريان العقد وفي نهايته. ويجوز بناء علي طلب العامل تضمين الشهاده مقدار الاجر الذي كان يتقاضاه وسبب انهاء علاقه العمل. ويلتزم صاحب العمل بان يرد للعامل عند انتهاء عقده ما يكون قد اودعه لديه من اوراق او شهادات او ادوات فور', 'ينتهي عقد العمل بوفاه العامل حقيقه او حكما طبقا للقواعد القانونيه المقرره. ولا ينتهي عقد العمل بوفاه صاحب العمل الا اذا كان قد ابرم لاعتبارات تتعلق بشخص صاحب العمل او بنشاطه الذي ينقطع بوفاته. واذا توفي العامل وهو في الخدمه يصرف صاحب العمل لاسرته ما يعادل اجر شهرين كاملين لمواجهه نفقات الجنازه بحد']",وفقًا للمادة رقم 38 من قانون العمل المصري، عندما تنتهي علاقة العمل، يدفع صاحب العمل للعامل أجره وكافة المستحقات المالية فورًا، إلا إذا كان العامل قد أنهى العلاقة من تلقاء نفسه، ففي هذه الحالة يجب الدفع خلال مدة لا تزيد عن سبعة أيام من تاريخ مطالبة العامل بها.,0.9999999999,0.0
