user_input,retrieved_contexts,reference,context_recall,context_precision
كيف يتم تعريف الأجر وما هي المكونات التي يشملها العامل وفقاً للقانون؟,"['يقصد في تطبيق احكام هذا القانون بالمصطلحات الاتيه المعاني المبينه قرين كل منها: (\u200cا) العامل : كل شخص طبيعي يعمل لقاء اجر لدي صاحب عمل وتحت ادارته او اشرافه (\u200cب) صاحب العمل :كل شخص طبيعي او اعتباري يستخدم عاملا او اكثر لقاء اجر. (\u200cج) الاجر : كل ما يحصل عليه العامل لقاء عمله ، ثابتا كان او متغيرا ،', 'ان تستلزمها مقتضيات العمل. ٥ - المنح : وهي ما يعطي للعامل علاوه علي اجره وما يصرف له جزاء امانته او كفاءته متي كانت هذه المنح مقرره في عقود العمل الفرديه او الجماعيه او في الانظمه الاساسيه للعمل ، وكذلك ما جرت العاده بمنحه متي توافرت لها صفات العموميه والدوام والثبات. ٦ - البدل : وهو ما يعطي للعامل']",وفقًا للمادة 1 من قانون العمل المصري، الأجر هو كل ما يحصل عليه العامل لقاء عمله، سواء كان ثابتا أو متغيرا، نقدا أو عينا. ويشمل الأجر العمولة والنسبة المئوية والعلاوات والمزايا العينية والمنح والبدل ونصيب العامل في الأرباح والوهبة.,0.5,0.99999999995
ما هو الوضع القانوني إذا قرر صاحب العمل إغلاق المنشأة وكيف يتم التعامل مع عقود العمل السارية؟,"['يحظر علي صاحب العمل انهاء عقد العمل لمرض العامل الا اذا استنفد العامل اجازاته المرضيه وفقا لما يحدده قانون التامين الاجتماعي ، بالاضافه الي متجمد اجازاته السنويه المستحقه له. وعلي صاحب العمل ان يخطر العامل برغبته في انهاء العقد قبل مضي خمسه عشر يوما من تاريخ استنفاد العامل لاجازاته. فاذا شفي العامل', 'خدمه العامل ، ويستمر صاحب العمل في تحمل الاعباء والالتزامات المترتبه علي ذلك. اما اذا كان الانهاء صادرا من جانب العامل فان العقد ينتهي من وقت تركه العمل.']",وفقًا للمادة 9 من قانون العمل المصري، لا يمنع من الوفاء بجميع الالتزامات إغلاق المنشأة، إذ لا يترتب على إدماجها أو انتقالها أو تصفيتها إنهاء العقود السارية ويكون الخلف مسؤولا عن تنفيذ جميع الالتزامات.,0.0,0.9999999999
ما الشروط التي تحدد العلاقة القانونية بين أصحاب العمل المتعددين بشأن الالتزامات القانونية؟,"['اذا تعدد اصحاب العمل كانوا مسءولين بالتضامن فيما بينهم عن الوفاء بالالتزامات الناشءه عن هذا القانون. ويكون من تنازل له صاحب العمل عن الاعمال المسنده اليه كلها او بعضها متضامنا معه في الوفاء بجميع الالتزامات التي تفرضها احكام هذا القانون.', 'المعتاد. (\u200cب) ان ينفذ اوامر وتعليمات صاحب العمل الخاصه بتنفيذ الواجبات التي تدخل في نطاق العمل المنوط به ، اذا لم يكن في هذه الاوامر والتعليمات ما يخالف العقد او القانون او اللواءح او الاداب العامه ولم يكن في تنفيذها ما يعرض للخطر. (\u200cج) ان يحافظ علي مواعيد العمل ، وان يتبع الاجراءات المقرره في حاله']",وفقًا للمادة 8 من قانون العمل المصري، إذا تعدد أصحاب العمل، يكونون مسؤولين بالتضامن بشأن الوفاء بالالتزامات الناشئة عن القانون، كما يكون من تنازل له صاحب العمل عن الأعمال متضامناً معه.,1.0,0.9999999999
كيف يتم تحديد الأجر في حالة عدم وجود اتفاقيات واضحة بين صاحب العمل والعامل وما هو دور اللجان في هذا السياق؟,"['يحدد الاجر وفقا لعقد العمل الفردي او اتفاقيه العمل الجماعي او لاءحه المنشاه، فاذا لم يحدد الاجر باي من هذه الطرق استحق العامل اجر المثل ان وجد ، والا قدر الاجر طبقا لعرف المهنه في الجهه التي يءدي فيها العمل ، فان لم يوجد عرف تولت اللجنه المنصوص عليها في الماده (71) من هذا القانون تقدير الاجر وفقا', 'العمل ، فان لم يوجد عرف تولت اللجنه المنصوص عليها في الماده (71) من هذا القانون تقدير الاجر وفقا لمقتضيات العداله ، وذلك كله مع مراعاه حكم المادتين (34 ، 35) من هذا القانون']",وفقًا للمادة 36 من قانون العمل المصري، يتم تحديد الأجر وفقاً لعقد العمل الفردي أو الاتفاقية الجماعية أو لائحة المنشأة، وإذا لم يكن هذا متوفراً، يستحق العامل أجر المثل، وإلا قدر الأجر وفقاً لعرف المهنة، وإذا لم يوجد عرف، تحدده اللجنة المنصوص عليها في المادة 71.,1.0,0.99999999995
ما هي الضوابط القانونية لتوقيع جزاء الفصل التأديبي على العامل وما هي الجهة المخولة باتخاذ هذا القرار؟,"['يكون الاختصاص بتوقيع جزاء الفصل من الخدمه للجنه المشار اليها في الماده (71) من هذا القانون. ويكون توقيع باقي الجزاءات التاديبيه لصاحب العمل او من يفوضه لذلك. ويكون لمدير المنشاه توقيع جزاءي الانذار والخصم من الاجر لمده لا تجاوز ثلاثه ايام.', 'في القرار الذي يقضي بتوقيع الجزاء. وفي جميع الحالات يشترط ان يكون القرار الصادر بتوقيع الجزاء مسببا.']",وفقًا للمادة 68 من قانون العمل المصري، يكون الاختصاص بتوقيع جزاء الفصل من الخدمة للجنة المذكورة في المادة 71، في حين أن باقي الجزاءات لصاحب العمل أو من يفوضه. ويتطلب الأمر تحقيق شروط معينة لتصور خطأ جسيم كما هو مفصل في المادة 69.,0.5,0.9999999999
ما هي الآثار القانونية المترتبة على حل المنشأة ولا سيما فيما يتعلق بحقوق العامل؟,"['من اخلال بالقوانين او اللواءح او عقود العمل. (ه) توقيع الحجز علي مستحقات العامل تحت يد صاحب العمل. (و) استخدام العامل لحقه في الاجازات.', 'للعامل انهاء العقد اذا اخل صاحب العمل بالتزام من التزاماته الجوهريه الناشءه عن القانون او عقد العمل الفردي او الجماعي او لاءحه النظام الاساسي للمنشاه او اذا وقع علي العامل او احد ذويه اعتداء من صاحب العمل او ممن يمثله. ويعتبر الانهاء في هذه الحالات بمثابه انهاء للعقد من جانب صاحب العمل بغير مبرر']",وفقًا للمادة 9 من قانون العمل المصري، حل المنشأة لا يمنع الوفاء بكافة الالتزامات المنصوص عليها، ولا يترتب على إدماجها أو نقل مكانها إنهاء عقود الاستخدام ويظل الخلف مسؤولا بالتضامن مع أصحاب الأعمال السابقين عن العقود.,0.0,0.49999999995
ما القيود المفروضة قانونياً على انتقاص حقوق العامل في اتفاقات العمل بغض النظر عن تاريخ الاتفاق؟,"['مع عدم الاخلال بحكم الماده (198) من هذا القانون ، وفي الحالات التي يحق فيها لصاحب العمل انهاء عقد العمل لاسباب اقتصاديه يجوز له بدلا من استخدام هذا الحق ان يعدل من شروط العقد بصفه مءقته ، وله علي الاخص ان يكلف العامل بعمل غير متفق عليه ولو كان يختلف عن عمله الاصلي ، كما ان له ان ينقص اجر العامل بما', 'لا يجوز الاتفاق علي الاعفاء من شرط الاخطار او تخفيض مدته ، ولكن يجوز الاتفاق علي زياده هذه المده. ويجوز لصاحب العمل اعفاء العامل من مراعاه مهله الاخطار كلها او بعضها في حاله انهاء العقد من جانب العامل.']",وفقًا للمادة 5 من قانون العمل المصري، كل شرط أو اتفاق يخالف القانون وينتقص من حقوق العامل يعتبر باطلاً، حتى وإن كان قبل سريان القانون، وهذا يمتد لجميع المزايا والشروط المتوافقة مع القانون.,0.0,0.99999999995
كيف يتم تحديد مدة الإجازة السنوية للعامل بناءً على سنوات الخدمة وما الشروط الخاصة بالأعمال الخطرة؟,"['اشهر في خدمه صاحب العمل. وفي جميع الاحوال تزاد مده الاجازه السنويه سبعه ايام للعمال الذين يعملون في الاعمال الصعبه او الخطره او المضره بالصحه او في المناطق الناءيه والتي يصدر بتحديدها قرار من الوزير المختص بعد اخذ راي الجهات المعنيه. ومع مراعاه حكم الفقره الثانيه من الماده (48) من هذا القانون ، لا', 'للعامل ان ينقطع عن العمل لسبب عارض لمده لا تتجاوز سته ايام خلال السنه ، وبحد اقصي يومان في المره الواحده ، وتحسب الاجازه العارضه من الاجازه السنويه المقرره للعامل.']",وفقًا للمادة 47 من قانون العمل المصري، مدة الإجازة السنوية 21 يوماً تزاد إلى 30 يوماً لمن تجاوزت خدمته عشر سنوات أو سن الخمسين. تزاد الإجازة 7 أيام للعاملين في الأعمال الخطرة التي يحددها الوزير المختص.,0.5,0.9999999999
ما التزامات صاحب العمل بشأن تشغيل الأستراليين وهل يختلف ذلك عن تشغيل المصريين؟,"['يلتزم من يستخدم عمالا في اماكن لا تصل اليها وساءل المواصلات العاديه ان يوفر لهم وساءل الانتقال المناسبه. وعلي من يستخدم عمالا في المناطق البعيده عن العمران ان يوفر لهم التغذيه المناسبه والمساكن الملاءمه مع مراعاه تخصيص بعضها للعمال المتزوجين. ويصدر الوزير المختص بالاتفاق مع الوزراء المعنيين ومع', 'لصاحب العمل الاعلان عن الوظاءف الشاغره بمختلف وساءل الاعلام وان يعهد الي احد المكاتب الاستشاريه بدراسه الطلبات التي تقدم اليه وابداء الراي او التوصيه او المساعده بشان اختيار افضل المرشحين لهذه الوظاءف. ولا يجوز له تشغيل عمال عن طريق متعهد او مقاول توريد عمال. ويجوز للوزير المختص بقرار منه الترخيص']",وفقًا للمادة 27 والمادة 29 من قانون العمل المصري، يتطلب تشغيل الأجانب ترخيص من الوزارة المختصة، ويسري ذلك على جميع أنواع العمل بما فيها الخدمة المنزلية. يجب على صاحب العمل الإخطار عن أي استخدام للإعفاء من الترخيص في حالة الأجانب.,0.0,0.0
كيف يكون حساب الأجر للعامل إذا لم يكن مرتبكًا بعقد عمل ثابت وكيف تتدخل اللجان في تحديده؟,"['يحدد الاجر وفقا لعقد العمل الفردي او اتفاقيه العمل الجماعي او لاءحه المنشاه، فاذا لم يحدد الاجر باي من هذه الطرق استحق العامل اجر المثل ان وجد ، والا قدر الاجر طبقا لعرف المهنه في الجهه التي يءدي فيها العمل ، فان لم يوجد عرف تولت اللجنه المنصوص عليها في الماده (71) من هذا القانون تقدير الاجر وفقا', 'العمل ، فان لم يوجد عرف تولت اللجنه المنصوص عليها في الماده (71) من هذا القانون تقدير الاجر وفقا لمقتضيات العداله ، وذلك كله مع مراعاه حكم المادتين (34 ، 35) من هذا القانون']",وفقًا للمادة 36 من قانون العمل المصري، عندما لا يكون الأجر محددًا بعقد ثابت، قد يلجأ العامل لأجر المثل أو يُقاس وفق عرف المهنة، وإذا لم يكن ذلك متاحًا، تحدده لجان المادة 71 مع مراعاة العدالة.,1.0,0.99999999995
