user_input,retrieved_contexts,reference,context_recall,context_precision
كيف يتم تعريف الأجر وما هي المكونات التي يشملها العامل وفقاً للقانون؟,"['المادة 1 من قانون العمل المصري: يقصد في تطبيق أحكام هذا القانون بالمصطلحات الآتية المعاني المبينة قرين كل منها:\n(\u200cأ)\tالعامل : كل شخص طبيعي يعمل لقاء أجر لدى صاحب عمل وتحت إدارته أو إشرافه\n(\u200cب)\tصاحب العمل :كل شخص طبيعي أو اعتباري يستخدم عاملا أو أكثر لقاء أجر.\n(\u200cج)\tالأجر : كل ما يحصل عليه العامل لقاء عمله ، ثابتا كان أو متغيرا ، نقدا أو عينا.\nويعتبر أجرا على الأخص ما يلى:', '(\u200cب)\tصاحب العمل :كل شخص طبيعي أو اعتباري يستخدم عاملا أو أكثر لقاء أجر.\n(\u200cج)\tالأجر : كل ما يحصل عليه العامل لقاء عمله ، ثابتا كان أو متغيرا ، نقدا أو عينا.\nويعتبر أجرا على الأخص ما يلى:\n۱ - العمولة التي تدخل في إطار علاقة العمل.\n۲ - النسبة المئوية ، وهى ما قد يدفع للعامل مقابل ما يقوم بإنتاجه أو بيعه أو تحصيله طوال قيامة بالعمل المقرر له هذه النسبة\n۳ - العلاوات أيا كان سبب استحقاقها أو نوعها.']",وفقًا للمادة 1 من قانون العمل المصري، الأجر هو كل ما يحصل عليه العامل لقاء عمله، سواء كان ثابتا أو متغيرا، نقدا أو عينا. ويشمل الأجر العمولة والنسبة المئوية والعلاوات والمزايا العينية والمنح والبدل ونصيب العامل في الأرباح والوهبة.,0.5,0.99999999995
ما هو الوضع القانوني إذا قرر صاحب العمل إغلاق المنشأة وكيف يتم التعامل مع عقود العمل السارية؟,"['المادة 196 من قانون العمل المصري: يكون لصاحب العمل ، لضرورات اقتصادية ، حق الإغلاق الكلى أو الجزئي للمنشأة أو تقليص حجمها أو نشاطها بما قد يمس حجم العمالة بها ، وذلك في الأوضاع وبالشروط والإجراءات المنصوص عليها في هذا القانون.', 'المادة 197 من قانون العمل المصري: في تطبيق أحكام المادة السابقة، على صاحب العمل أن يتقدم بطلب إغلاق المنشأة أو تقليص حجمها أو نشاطها إلى لجنة تشكل لهذا الغرض.\nويتضمن الطلب الأسباب التي يستند إليها في ذلك وأعداد وفئات العمال الذين سيتم الاستغناء عنهم.']",وفقًا للمادة 9 من قانون العمل المصري، لا يمنع من الوفاء بجميع الالتزامات إغلاق المنشأة، إذ لا يترتب على إدماجها أو انتقالها أو تصفيتها إنهاء العقود السارية ويكون الخلف مسؤولا عن تنفيذ جميع الالتزامات.,0.0,0.9999999999
ما الشروط التي تحدد العلاقة القانونية بين أصحاب العمل المتعددين بشأن الالتزامات القانونية؟,['المادة 8 من قانون العمل المصري: إذا تعدد أصحاب العمل كانوا مسئولين بالتضامن فيما بينهم عن الوفاء بالالتزامات الناشئة عن هذا القانون.\nويكون من تنازل له صاحب العمل عن الأعمال المسندة إليه كلها أو بعضها متضامنا معه فى الوفاء بجميع الالتزامات التى تفرضها أحكام هذا القانون.'],وفقًا للمادة 8 من قانون العمل المصري، إذا تعدد أصحاب العمل، يكونون مسؤولين بالتضامن بشأن الوفاء بالالتزامات الناشئة عن القانون، كما يكون من تنازل له صاحب العمل عن الأعمال متضامناً معه.,1.0,0.9999999999
كيف يتم تحديد الأجر في حالة عدم وجود اتفاقيات واضحة بين صاحب العمل والعامل وما هو دور اللجان في هذا السياق؟,"['المادة 36 من قانون العمل المصري: يحدد الأجر وفقا لعقد العمل الفردي أو اتفاقية العمل الجماعي أو لائحة المنشأة،  فإذا لم يحدد الأجر بأى من هذه الطرق استحق العامل أجر المثل إن وجد ، وإلا قدر الأجر طبقا لعرف المهنة فى الجهة التي يؤدى فيها العمل ، فإن لم يوجد عرف تولت اللجنة المنصوص عليها فى المادة (71) من هذا القانون تقدير الأجر وفقا لمقتضيات العدالة ، وذلك كله مع مراعاة حكم المادتين (34 ، 35) من هذا', 'المهنة فى الجهة التي يؤدى فيها العمل ، فإن لم يوجد عرف تولت اللجنة المنصوص عليها فى المادة (71) من هذا القانون تقدير الأجر وفقا لمقتضيات العدالة ، وذلك كله مع مراعاة حكم المادتين (34 ، 35) من هذا القانون']",وفقًا للمادة 36 من قانون العمل المصري، يتم تحديد الأجر وفقاً لعقد العمل الفردي أو الاتفاقية الجماعية أو لائحة المنشأة، وإذا لم يكن هذا متوفراً، يستحق العامل أجر المثل، وإلا قدر الأجر وفقاً لعرف المهنة، وإذا لم يوجد عرف، تحدده اللجنة المنصوص عليها في المادة 71.,1.0,0.99999999995
ما هي الضوابط القانونية لتوقيع جزاء الفصل التأديبي على العامل وما هي الجهة المخولة باتخاذ هذا القرار؟,"['المادة 68 من قانون العمل المصري: يكون الاختصاص بتوقيع جزاء الفصل من الخدمة للجنة المشار إليها فى المادة (71) من هذا القانون.\nويكون توقيع باقى الجزاءات التأديبية لصاحب العمل أو من يفوضه لذلك.\nويكون لمدير المنشأة توقيع جزاءي الإنذار والخصم من الأجر لمدة لا تجاوز ثلاثة أيام.', 'المادة 60 من قانون العمل المصري: الجزاءات التأديبية التي يجوز توقيعها على العامل وفقا للوائح تنظيم العمل والجزاءات التأديبية فى كل منشأة هى:\n۱ - الإنذار.\n۲ - الخصم من الأجر.\n۳ - تأجيل موعد استحقاق العلاوة السنوية لمدة لا تجاوز ثلاثة أشهر.\n٤ - الحرمان من جزء من العلاوة السنوية بما لا يجاوز نصفها.\n٥ - تأجيل الترقية عند استحقاقها لمدة لا تزيد على سنة.\n٦ - خفض الأجر بمقدار علاوة على الأكثر.', 'المادة 64 من قانون العمل المصري: يحظر توقيع جزاء على العامل إلا بعد إبلاغه كتابة بما نسب إليه وسماع أقواله وتحقيق دفاعه وإثبات ذلك فى محضر يودع فى ملفه الخاص ، على أن يبدأ التحقيق خلال سبعة ايام على الأكثر من تاريخ اكتشاف المخالفة ، وللمنظمة النقابية التى يتبعها العامل أن تندب ممثلا عنها لحضور التحقيق.', 'المادة 58 من قانون العمل المصري: على صاحب العمل أن يضع لائحة تنظيم العمل والجزاءات التأديبية موضحا بها قواعد تنظيم العمل والجزاءات التأديبية مصدقا عليها من الجهة الإدارية المختصة ، وعلى هذه الجهة أخذ رأى المنظمة النقابية التي يتبعها عمال المنشأة قبل التصديق على اللائحة ، فإذا لم تقم الجهة الإدارية بالتصديق أو الاعتراض على اللائحة خلال ثلاثين يوما من تاريخ تقديمها اعتبرت نافذة ، وللوزير المختص أن']",وفقًا للمادة 68 من قانون العمل المصري، يكون الاختصاص بتوقيع جزاء الفصل من الخدمة للجنة المذكورة في المادة 71، في حين أن باقي الجزاءات لصاحب العمل أو من يفوضه. ويتطلب الأمر تحقيق شروط معينة لتصور خطأ جسيم كما هو مفصل في المادة 69.,0.5,0.8055555555287036
ما هي الآثار القانونية المترتبة على حل المنشأة ولا سيما فيما يتعلق بحقوق العامل؟,"['ويستمر العمل بأية مزايا و شروط أفضل تكون مقررة أو تقرر في عقود العمل الفردية أو الجماعية أو الأنظمة الأساسية أو غيرها من لوائح المنشأة ، أو بمقتضى العرف.\nوتقع باطلة كل مصالحة تتضمن انتقاصا أو إبراء من حقوق العامل الناشئة عن عقد العمل خلال مدة سريانه أو خلال ثلاثة أشهر من تاريخ انتهائه متى كانت تخالف أحكام هذا القانون.', '5\t- إذا ثبت أن العامل أفشى أسرار المنشأة التي يعمل بها أدت إلى إحداث أضرار جسيمة بالمنشأة.\n6\t- إذا قام العامل بمنافسة صاحب العمل في ذات نشاطه.\n۷ - إذا وجد العامل أثناء ساعات العمل في حالة سكر بين أو متأثرا بما تعاطاه من مادة مخدرة.\n۸ - إذا ثبت اعتداء العامل على صاحب العمل أو المدير العام ، وكذلك إذا وقع منه اعتداء جسيم على أحد رؤسائه أثناء العمل أو بسببه.', 'وينفذ القرار الصادر بالإغلاق أو بالإيقاف بالطرق الإدارية مع عدم الإخلال بحق العاملين فى تقاضى أجورهم كاملة خلال فترة الإغلاق أو الإيقاف.\nو للجهة الإدارية المختصة أن تقوم بإزالة أسباب الخطر بطريق التنفيذ المباشر على نفقة المنشأة.', 'المادة 9 من قانون العمل المصري: لا يمنع من الوفاء بجميع الالتزامات الناشئة طبقا للقانون ، حل المنشأة أو تصفيتها أو إغلاقها أو إفلاسها.', 'المادة 196 من قانون العمل المصري: يكون لصاحب العمل ، لضرورات اقتصادية ، حق الإغلاق الكلى أو الجزئي للمنشأة أو تقليص حجمها أو نشاطها بما قد يمس حجم العمالة بها ، وذلك في الأوضاع وبالشروط والإجراءات المنصوص عليها في هذا القانون.']",وفقًا للمادة 9 من قانون العمل المصري، حل المنشأة لا يمنع الوفاء بكافة الالتزامات المنصوص عليها، ولا يترتب على إدماجها أو نقل مكانها إنهاء عقود الاستخدام ويظل الخلف مسؤولا بالتضامن مع أصحاب الأعمال السابقين عن العقود.,0.3333333333333333,0.8055555555287036
ما القيود المفروضة قانونياً على انتقاص حقوق العامل في اتفاقات العمل بغض النظر عن تاريخ الاتفاق؟,"['ويستمر العمل بأية مزايا و شروط أفضل تكون مقررة أو تقرر في عقود العمل الفردية أو الجماعية أو الأنظمة الأساسية أو غيرها من لوائح المنشأة ، أو بمقتضى العرف.\nوتقع باطلة كل مصالحة تتضمن انتقاصا أو إبراء من حقوق العامل الناشئة عن عقد العمل خلال مدة سريانه أو خلال ثلاثة أشهر من تاريخ انتهائه متى كانت تخالف أحكام هذا القانون.', 'المادة 5 من قانون العمل المصري: يقع باطلا كل شرط أو اتفاق يخالف أحكام هذا القانون ولو كان سابقا على العمل به، إذا كان يتضمن انتقاصا من حقوق العامل المقررة فيه.\nويستمر العمل بأية مزايا و شروط أفضل تكون مقررة أو تقرر في عقود العمل الفردية أو الجماعية أو الأنظمة الأساسية أو غيرها من لوائح المنشأة ، أو بمقتضى العرف.']",وفقًا للمادة 5 من قانون العمل المصري، كل شرط أو اتفاق يخالف القانون وينتقص من حقوق العامل يعتبر باطلاً، حتى وإن كان قبل سريان القانون، وهذا يمتد لجميع المزايا والشروط المتوافقة مع القانون.,0.5,0.99999999995
كيف يتم تحديد مدة الإجازة السنوية للعامل بناءً على سنوات الخدمة وما الشروط الخاصة بالأعمال الخطرة؟,['وإذا قلت مدة خدمة العامل عن سنة استحق إجازة بنسبة المدة التي قضاها في العمل بشرط أن يكون قد أمضى ستة أشهر في خدمة صاحب العمل.\nوفى جميع الأحوال تزاد مدة الإجازة السنوية سبعة أيام للعمال الذين يعملون فى الأعمال الصعبة أو الخطرة أو المضرة بالصحة أو في المناطق النائية والتي يصدر بتحديدها قرار من الوزير المختص بعد أخذ رأى الجهات المعنية.'],وفقًا للمادة 47 من قانون العمل المصري، مدة الإجازة السنوية 21 يوماً تزاد إلى 30 يوماً لمن تجاوزت خدمته عشر سنوات أو سن الخمسين. تزاد الإجازة 7 أيام للعاملين في الأعمال الخطرة التي يحددها الوزير المختص.,0.5,0.9999999999
ما التزامات صاحب العمل بشأن تشغيل الأستراليين وهل يختلف ذلك عن تشغيل المصريين؟,['المادة 16 من قانون العمل المصري: لصاحب العمل الإعلان عن الوظائف الشاغرة بمختلف وسائل الإعلام وأن يعهد إلى أحد المكاتب الاستشارية بدراسة الطلبات التى تقدم إليه وإبداء الرأي أو التوصية أو المساعدة بشأن اختيار أفضل المرشحين لهذه الوظائف.\nولا يجوز له تشغيل عمال عن طريق متعهد أو مقاول توريد عمال.'],وفقًا للمادة 27 والمادة 29 من قانون العمل المصري، يتطلب تشغيل الأجانب ترخيص من الوزارة المختصة، ويسري ذلك على جميع أنواع العمل بما فيها الخدمة المنزلية. يجب على صاحب العمل الإخطار عن أي استخدام للإعفاء من الترخيص في حالة الأجانب.,0.0,0.0
كيف يكون حساب الأجر للعامل إذا لم يكن مرتبكًا بعقد عمل ثابت وكيف تتدخل اللجان في تحديده؟,['المادة 36 من قانون العمل المصري: يحدد الأجر وفقا لعقد العمل الفردي أو اتفاقية العمل الجماعي أو لائحة المنشأة،  فإذا لم يحدد الأجر بأى من هذه الطرق استحق العامل أجر المثل إن وجد ، وإلا قدر الأجر طبقا لعرف المهنة فى الجهة التي يؤدى فيها العمل ، فإن لم يوجد عرف تولت اللجنة المنصوص عليها فى المادة (71) من هذا القانون تقدير الأجر وفقا لمقتضيات العدالة ، وذلك كله مع مراعاة حكم المادتين (34 ، 35) من هذا'],وفقًا للمادة 36 من قانون العمل المصري، عندما لا يكون الأجر محددًا بعقد ثابت، قد يلجأ العامل لأجر المثل أو يُقاس وفق عرف المهنة، وإذا لم يكن ذلك متاحًا، تحدده لجان المادة 71 مع مراعاة العدالة.,1.0,0.9999999999
